iter	RMSE
292	4.428655475
293	4.426204119
294	4.424352997
295	4.420732048
296	4.415283248
297	4.412992126
298	4.411726718
299	4.411314176
300	4.406328456
301	4.401039743
302	4.395216053
303	4.389398068
304	4.384356369
305	4.383699642
306	4.379133472
307	4.375429106
308	4.37136976
309	4.366145536
310	4.360396871
311	4.358995816
312	4.354074408
313	4.347449486
314	4.343911198
315	4.342461281
316	4.338490309
317	4.337222874
318	4.332767794
319	4.331014328
320	4.33039747
321	4.327134975
322	4.326753835
323	4.322395209
324	4.319108831
325	4.313531383
326	4.309193102
327	4.305173457
328	4.304816292
329	4.302412084
330	4.300768261
331	4.296262674
332	4.294434128
333	4.290032758
334	4.289723864
335	4.286495636
336	4.280072339
337	4.276544697
338	4.274609635
339	4.274269748
340	4.271678855
341	4.267295516
342	4.264716426
343	4.259559148
344	4.257077626
345	4.253750025
346	4.24829894
347	4.244015982
348	4.240795117
349	4.236481857
350	4.234654079
351	4.231609848
352	4.228838936
353	4.226712984
354	4.22106013
355	4.215977708
356	4.212416552
357	4.210006556
358	4.206964998
359	4.202555858
360	4.197773592
361	4.1974437
362	4.196956985
363	4.19535798
364	4.190745887
365	4.190191079
366	4.18586359
367	4.18379047
368	4.177868514
369	4.176303538
370	4.168700453
371	4.16733128
372	4.16278725
373	4.159157925
374	4.154730396
375	4.152814303
376	4.148434178
377	4.145702964
378	4.141761734
379	4.136966058
380	4.133193773
381	4.128526265
382	4.1241997
383	4.120349667
384	4.117507148
385	4.115377385
386	4.113950236
387	4.106921359
388	4.103586302
389	4.103124185
390	4.100869794
391	4.100185642
392	4.097456685
393	4.09620856
394	4.093462955
395	4.089219673
396	4.088722947
397	4.08640296
398	4.085322587
399	4.081840427
400	4.079548514
401	4.0779602
402	4.07692168
403	4.073699042
404	4.073510663
405	4.06886865
406	4.064562769
407	4.062444808
408	4.062152031
409	4.061884396
410	4.058877456
411	4.058599134
412	4.05805332
413	4.055549638
414	4.049980255
415	4.048458195
416	4.045170048
417	4.040988537
418	4.037134191
419	4.035659986
420	4.031926076
421	4.027960126
422	4.024408679
423	4.021844762
424	4.019028422
425	4.016864838
426	4.012848405
427	4.009348827
428	4.004512027
429	4.003419447
430	4.003002876
431	4.00204341
432	3.999479906
433	3.99732779
434	3.994855883
435	3.993567048
436	3.990424163
437	3.988398078
438	3.986085103
439	3.985881598
440	3.982948835
441	3.97991444
442	3.976476571
443	3.974645988
444	3.970558862
445	3.97034771
446	3.970075768
447	3.967229089
448	3.965141209
449	3.962913738
450	3.960638687
451	3.960406117
452	3.956296003
453	3.953050726
454	3.950422369
455	3.945617058
456	3.941885052
457	3.938964847
458	3.938717475
459	3.936241991
460	3.936035703
461	3.932817739
462	3.92948634
463	3.927276461
464	3.925440193
465	3.924156141
466	3.918576481
467	3.916138929
468	3.913138133
469	3.909629681
470	3.907086239
471	3.905239997
472	3.902134361
473	3.896537389
474	3.894774373
475	3.891714489
476	3.890234211
477	3.887210324
478	3.883278619
479	3.880421319
480	3.878628891
481	3.875860571
482	3.873672342
483	3.869746151
484	3.869132714
485	3.866186812
486	3.864197017
487	3.861025528
488	3.858205678
489	3.855054489
490	3.852512676
491	3.852330477
492	3.850464343
493	3.849078996
494	3.84688402
495	3.844554396
496	3.843968645
497	3.842872084
498	3.841451086
499	3.839714874
500	3.836667932
501	3.835220271
502	3.834164025
503	3.831171161
504	3.828708021
505	3.826831829
506	3.824373362
507	3.820511527
508	3.820236913
509	3.8172464
510	3.816818256
511	3.813472239
512	3.811596922
513	3.807242218
514	3.806712432
515	3.804913949
516	3.803701935
517	3.798634809
518	3.798308858
519	3.794557468
520	3.790597234
521	3.787689967
522	3.78567003
523	3.78281015
524	3.780170851
525	3.779306235
526	3.776978355
527	3.775245033
528	3.771511385
529	3.769948237
530	3.768877813
531	3.766049835
532	3.764140885
533	3.759721155
534	3.758062748
535	3.756378435
536	3.755039537
537	3.750830871
538	3.749039932
539	3.745180894
540	3.743693428
541	3.740968143
542	3.740789771
543	3.738891778
544	3.735478548
545	3.733774093
546	3.731026134
547	3.728110453
548	3.727133863
549	3.727059056
550	3.726924959
551	3.722979081
552	3.720582204
553	3.717070507
554	3.714974524
555	3.714759571
556	3.711988388
557	3.711740308
558	3.709458562
559	3.708650728
560	3.705647193
561	3.704446264
562	3.703364327
563	3.69962976
564	3.699390576
565	3.697430918
566	3.694907956
567	3.692675834
568	3.691450442
569	3.690504941
570	3.688909865
571	3.688727121
572	3.688131092
573	3.685597412
574	3.683345132
575	3.681865105
576	3.680797988
577	3.680568945
578	3.676757775
579	3.676485265
580	3.674822142
581	3.671975702
582	3.669535047
583	3.667352073
584	3.667185133
585	3.666175465
586	3.663937291
587	3.661565165
588	3.660464831
589	3.659420317
590	3.658185285
591	3.653883998
592	3.653615212
593	3.65085055
594	3.64972131
595	3.649553752
596	3.64934401
597	3.645312864
598	3.644186253
599	3.644036677
600	3.641511779
601	3.638333206
602	3.637551796
603	3.634566811
604	3.631580392
605	3.630633935
606	3.629916549
607	3.628807888
608	3.624846918
609	3.624517965
610	3.622460905
611	3.621002524
612	3.620069018
613	3.61781771
614	3.616590045
615	3.616167975
616	3.614635591
617	3.613145013
618	3.609768212
619	3.608007094
620	3.607469374
621	3.607276436
622	3.604581281
623	3.602370341
624	3.602230374
625	3.60039773
626	3.600061443
627	3.598990438
628	3.595088725
629	3.592741536
630	3.591899742
631	3.591718567
632	3.587934988
633	3.587802336
634	3.584902482
635	3.583241431
636	3.583167228
637	3.5811121
638	3.57991932
639	3.578866558
640	3.575675323
641	3.574802831
642	3.571702262
643	3.568355671
644	3.566298719
645	3.564929304
646	3.56283401
647	3.560793322
648	3.560315042
649	3.559905553
650	3.557267506
651	3.552148664
652	3.55027721
653	3.548436494
654	3.548268166
655	3.544667068
656	3.544092043
657	3.543926801
658	3.541969674
659	3.540246559
660	3.540076832
661	3.539386437
662	3.536777266
663	3.534922784
664	3.531878474
665	3.529842109
666	3.528418225
667	3.526901435
668	3.524487476
669	3.524319975
670	3.522450771
671	3.521510958
672	3.521388724
673	3.521255986
674	3.51933271
675	3.517074148
676	3.516983471
677	3.515582056
678	3.515366817
679	3.513321641
680	3.511271907
681	3.509550452
682	3.507581006
683	3.507375961
684	3.506046306
685	3.502246332
686	3.500834767
687	3.497879791
688	3.497743738
689	3.494748433
690	3.494641124
691	3.494497737
692	3.49374225
693	3.492953046
694	3.490881708
695	3.490040876
696	3.488972354
697	3.487996915
698	3.487023587
699	3.48508377
700	3.482482692
701	3.480831329
702	3.479628301
703	3.479519736
704	3.478024846
705	3.475774218
706	3.475587748
707	3.473344237
708	3.473134422
709	3.471298141
710	3.468211242
711	3.46621444
712	3.465982451
713	3.465884153
714	3.464743513
715	3.462360602
716	3.45948854
717	3.455861348
718	3.451808731
719	3.451028274
720	3.449695877
721	3.447712244
722	3.445482052
723	3.443739586
724	3.440221543
725	3.438888778
726	3.438792962
727	3.438031904
728	3.436932505
729	3.434969085
730	3.434875127
731	3.434783859
732	3.433914833
733	3.433127323
734	3.433003566
735	3.431377331
736	3.430303593
737	3.428649291
738	3.426912271
739	3.425839085
740	3.422470248
741	3.421111248
742	3.421013598
743	3.418477995
744	3.416174164
745	3.413558433
746	3.412430979
747	3.411704182
748	3.410678059
749	3.408802167
750	3.405220273
751	3.404581181
752	3.403491159
753	3.401085781
754	3.39796749
755	3.397730833
756	3.394487679
757	3.392398031
758	3.388719543
759	3.387423389
760	3.38734986
761	3.386766241
762	3.386712617
763	3.383303117
764	3.379069772
765	3.378691013
766	3.378620568
767	3.378530831
768	3.377154811
769	3.373732934
770	3.372148866
771	3.36975331
772	3.367508238
773	3.366228501
774	3.363637105
775	3.361544989
776	3.360687698
777	3.358125617
778	3.35723968
779	3.354660007
780	3.351709826
781	3.351163056
782	3.349585962
783	3.348314152
784	3.346146744
785	3.342661057
786	3.341126067
787	3.340808587
788	3.340732651
789	3.338478583
790	3.338404118
791	3.336094961
792	3.335191515
793	3.335077547
794	3.33400642
795	3.333816723
796	3.332735441
797	3.332434175
798	3.33152567
799	3.331388585
800	3.330327619
801	3.33018142
802	3.329422478
803	3.32749004
804	3.323528829
805	3.321897435
806	3.320744202
807	3.318898105
808	3.318173158
809	3.317801941
810	3.314527192
811	3.313446042
812	3.312169226
813	3.311156336
814	3.310931438
815	3.309976903
816	3.307943581
817	3.30698171
818	3.304446598
819	3.301916724
820	3.299003448
821	3.29838002
822	3.297546174
823	3.294348903
824	3.293546855
825	3.292839379
826	3.292036236
827	3.290572615
828	3.289631246
829	3.288580878
830	3.287774528
831	3.287198722
832	3.28574861
833	3.282710023
834	3.281830206
835	3.281228699
836	3.277259028
837	3.276219253
838	3.274737572
839	3.271854436
840	3.271244589
841	3.27031397
842	3.267745677
843	3.265222122
844	3.262847531
845	3.262792839
846	3.261228102
847	3.260783242
848	3.258158549
849	3.256976342
850	3.256365677
851	3.253479547
852	3.251909131
853	3.250866701
854	3.249530666
855	3.248450594
856	3.247590529
857	3.245200881
858	3.242669594
859	3.240804946
860	3.239094929
861	3.238754564
862	3.238657098
863	3.23759999
864	3.23642623
865	3.234000969
866	3.233304572
867	3.232556646
868	3.231728474
869	3.23032655
870	3.228667639
871	3.227150652
872	3.226480447
873	3.225608743
874	3.223804634
875	3.222227189
876	3.22072885
877	3.219220808
878	3.217727139
879	3.215731631
880	3.215427384
881	3.214340433
882	3.212690223
883	3.211384152
884	3.210039102
885	3.207898611
886	3.20747267
887	3.206695399
888	3.205785517
889	3.205251484
890	3.204436364
891	3.20280041
892	3.201817878
893	3.200993796
894	3.199824029
895	3.198659088
896	3.198447173
897	3.197536713
898	3.195627432
899	3.194032971
900	3.193586902
901	3.193063803
902	3.190349222
903	3.1889915
904	3.188039415
905	3.185974945
906	3.185874862
907	3.185753546
908	3.183031041
909	3.181904959
910	3.18170061
911	3.180249242
912	3.178454055
913	3.176771139
914	3.176562909
915	3.17530018
916	3.174448413
917	3.171218707
918	3.170568451
919	3.167160615
920	3.16679645
921	3.165781685
922	3.164003317
923	3.163213513
924	3.161772946
925	3.159614719
926	3.1587803
927	3.158683179
928	3.157891405
929	3.156797924
930	3.154184271
931	3.151763815
932	3.150277053
933	3.148031479
934	3.145628835
935	3.14437966
936	3.142389619
937	3.13853552
938	3.136483873
939	3.135806506
940	3.134295151
941	3.132630083
942	3.132538725
943	3.131784191
944	3.131545373
945	3.130406463
946	3.129926481
947	3.129095524
948	3.128532947
949	3.128477803
950	3.127576705
951	3.12537887
952	3.122459315
953	3.121107189
954	3.120229202
955	3.120063122
956	3.118518432
957	3.117736318
958	3.117305868
959	3.116168015
960	3.11611018
961	3.114870377
962	3.113664958
963	3.112275359
964	3.109728086
965	3.108586178
966	3.107452511
967	3.106720698
968	3.10585857
969	3.104743975
970	3.102969316
971	3.102306831
972	3.101153109
973	3.099813414
974	3.098704439
975	3.097755344
976	3.096334464
977	3.095244191
978	3.09504407
979	3.093577418
980	3.092293095
981	3.09207529
982	3.091252212
983	3.090273559
984	3.08860241
985	3.086473271
986	3.085032975
987	3.08227318
988	3.080774928
989	3.079946181
990	3.079906388
991	3.079794767
992	3.078757675
993	3.075505329
994	3.074215409
995	3.072167256
996	3.071865193
997	3.070868156
998	3.068234929
999	3.066253487
